order_id,customer_id,customer_name,gender,age,state,city,region,loyalty_tier,payment_method,category,subcategory,product_name,manufacturer,sku,quantity,selling_price,unit_cost,warehouse,courier,shipping_mode,delivery_days,rto,rto_reason,discount_percent,revenue,cost,profit,order_date,dispatch_date,delivery_date
ORD-104871,CUST-23558,Jalsa Oza,Female,59.0,Tamil Nadu,Chennai,South,Silver,Net Banking,Electronics,Laptops,Dell Inspiron 15,Dell,ELE-LP-002,4,62728,45164,Bengaluru FC,Blue Dart,Express,2,False,,27,183165,180656,2509,2025-12-07,2025-12-08,2025-12-10
ORD-101616,CUST-88267,Samar Virk,Male,45.0,Gujarat,Surat,West,Silver,UPI,Books,Programming,Designing Data-Intensive Applications,O'Reilly,BK-PR-003,4,1178,647,Mumbai FC,Delhivery,Express,3,False,,5,4476,2588,1888,2025-12-01,2025-12-02,2025-12-05
ORD-102574,CUST-35832,Ranbir Wason,Male,50.0,Rajasthan,Udaipur,North,Bronze,Debit Card,Electronics,Laptops,Lenovo ThinkPad E16,Lenovo,ELE-LP-004,3,70405,50691,Delhi FC,Delhivery,Standard,6,False,,8,194317,152073,42244,2024-02-16,2024-02-17,2024-02-23
ORD-105646,CUST-90348,Megha Johal,Female,38.0,Karnataka,Udupi,South,Silver,Debit Card,Home & Kitchen,Kitchen,Mixer Grinder,Prestige,HM-KT-001,2,4096,2457,Bengaluru FC,Shadowfax,Standard,5,False,,18,6717,4914,1803,2024-05-07,2024-05-08,2024-05-13
ORD-100041,CUST-52758,Kashvi Edwin,Female,50.0,Kerala,Kozhikode,South,Silver,UPI,Electronics,Laptops,HP Pavilion 14,HP,ELE-LP-003,3,56201,40464,Bengaluru FC,Blue Dart,Express,4,False,,1,166916,121392,45524,2025-11-19,2025-11-20,2025-11-24
ORD-104874,CUST-71283,Siddharth Divan,Female,24.0,Punjab,Amritsar,North,Bronze,Debit Card,Fashion,Women,Handbag,Lavie,FAS-WM-002,3,2622,1179,Delhi FC,DTDC,Express,2,True,COD Rejected,29,5584,3537,2047,2024-11-06,2024-11-07,2024-11-09
ORD-103128,CUST-51937,Yauvani Murthy,Male,52.0,Kerala,Thiruvananthapuram,South,Bronze,Cash on Delivery,Books,Fiction,The Alchemist,HarperOne,BK-FC-003,1,349,191,Bengaluru FC,Blue Dart,Standard,5,False,,8,321,191,130,2024-07-28,2024-07-29,2024-08-03
ORD-104662,CUST-14430,Geetika Chand,Female,63.0,Haryana,Gurugram,North,Silver,Debit Card,Fashion,Women,Kurti,Biba,FAS-WM-001,3,1424,640,Delhi FC,DTDC,Same Day,1,False,,5,4058,1920,2138,2025-05-08,2025-05-09,2025-05-10
ORD-104599,CUST-47079,Zayyan Chanda,Male,63.0,Odisha,Bhubaneswar,East,Bronze,Debit Card,Home & Kitchen,Kitchen,Pressure Cooker,Hawkins,HM-KT-002,4,2463,1477,Kolkata FC,Ekart,Express,4,False,,12,8669,5908,2761,2024-11-20,2024-11-21,2024-11-25
ORD-101569,CUST-60370,Kamya Sachar,Male,37.0,Bihar,Gaya,East,Bronze,UPI,Books,Programming,Designing Data-Intensive Applications,O'Reilly,BK-PR-003,1,1228,675,Kolkata FC,Ekart,Standard,4,False,,26,908,675,233,2024-04-08,2024-04-09,2024-04-13
ORD-100829,CUST-20391,Yasti Rama,Male,18.0,Karnataka,Bengaluru,South,Platinum,UPI,Home & Kitchen,Kitchen,Mixer Grinder,Prestige,HM-KT-001,4,3934,2360,Bengaluru FC,Delhivery,Express,4,False,,7,14634,9440,5194,2025-05-07,2025-05-08,2025-05-12
ORD-102525,CUST-83364,Riya Bhakta,Female,39.0,West Bengal,Howrah,East,Bronze,UPI,Fashion,Men,Slim Fit Jeans,Wrangler,FAS-MN-002,2,1903,856,Kolkata FC,Delhivery,Standard,4,True,Customer Not Available,12,3349,1712,1637,2024-05-12,2024-05-13,2024-05-17
ORD-103841,CUST-53119,Radhika Bava,Male,34.0,Delhi,New Delhi,North,Silver,UPI,Home & Kitchen,Home Decor,Table Lamp,Wipro,HM-HD-002,4,1561,936,Delhi FC,Delhivery,Standard,5,False,,3,6056,3744,2312,2024-06-03,2024-06-04,2024-06-09
ORD-100552,CUST-74380,Ayush Bumb,Female,32.0,Haryana,Faridabad,North,Silver,UPI,Fashion,Men,Cotton T-Shirt,Levi's,FAS-MN-001,3,816,367,Delhi FC,Ekart,Express,4,True,Fake Order,26,1811,1101,710,2025-11-29,2025-11-30,2025-12-04
ORD-101177,CUST-31676,Chaman Lalla,Male,52.0,Jharkhand,Jamshedpur,East,Bronze,Credit Card,Books,Fiction,1984,Penguin,BK-FC-002,1,385,211,Kolkata FC,Delhivery,Express,4,False,,14,331,211,120,2025-09-11,2025-09-12,2025-09-16
ORD-104997,CUST-10993,Netra Bahri,Female,68.0,West Bengal,Siliguri,East,Bronze,UPI,Fashion,Women,Kurti,Biba,FAS-WM-001,1,1509,679,Kolkata FC,Delhivery,Express,3,False,,33,1011,679,332,2024-03-10,2024-03-11,2024-03-14
ORD-102569,CUST-41596,,Male,68.0,Odisha,Bhubaneswar,East,Platinum,Cash on Delivery,Electronics,Laptops,Lenovo ThinkPad E16,Lenovo,ELE-LP-004,4,74715,53794,Kolkata FC,Blue Dart,Same Day,1,True,Customer Not Available,24,227133,215176,11957,2025-03-13,2025-03-14,2025-03-15
